AlphaZero Iteration,1,2,3,4
3,4,1,13,19
4,-4,1,9,4
6,3,9,8,8
9,-2,1,-6,11
10,4,-5,14,-9
11,8,1,9,-6
13,0,7,-3,3
14,3,3,-2,1
15,2,1,-10,-3
27,6,12,-1,-1
30,12,6,11,35
31,2,3,1,1
32,20,1,5,2
44,5,6,-5,-6
45,8,-2,0,11
47,-14,-3,3,16
48,-6,4,6,-1
50,-5,1,6,4
51,-8,2,10,8
55,0,-2,0,-3
63,-14,8,-3,-2
65,7,4,0,2
68,-1,8,-9,-3
70,-8,11,1,6
74,-2,-8,-2,-13
76,-9,-2,4,-19
78,-3,1,11,-5
79,6,-1,-3,-5
80,4,4,5,-1
81,6,-2,5,4
88,11,-3,-2,11
89,-1,1,2,8
90,1,-5,4,5
92,-9,-2,11,-9
93,6,3,-1,-9
95,6,1,-3,4
96,2,3,-1,2
97,3,7,7,-4
99,3,9,12,-14
